	Pāli Root	Grp	Root Meaning	Family
1075	√khi	1	live, abide peacefully	antara √khi
1076	√khi	1	live, abide peacefully	√khi
1077	√khip	1	sneeze	√khip
1078	√khip	1	throw	abhi ni √khip
1079	√khip	1	throw	ava √khip
1080	√khip	1	throw	ni √khip
1081	√khip	1	throw	pa √khip
1082	√khip	1	throw	pari √khip
1083	√khip	1	throw	pati √khip
1084	√khip	1	throw	saṃ √khip
1085	√khip	1	throw	ud √khip
1086	√khip	1	throw	upa ni √khip
1087	√khip	1	throw	vi √khip
1088	√khip	1	throw	√khip
1089	√khubh	1	shake, agitate	saṃ √khubh
1090	√khubh	1	shake, agitate	vi √khubh
1091	√khubh	1	shake, agitate	√khubh
1092	√khud	1	be hungry	√khud
1093	√khur	1	cut	√khur
1094	√khuṃs	8	insult	√khuṃs
1095	√khyā	1	announce	saṃ √khyā
1096	√khyā	1	announce	vi ā √khyā
1097	√khyā	1	announce	ā √khyā
1098	√khyā	1	announce	√khyā
1099	√khā	1	tell, announce	abhi ā √khā
1100	√khā	1	tell, announce	pati saṃ √khā
1101	√khā	1	tell, announce	pati ā √khā
1102	√khā	1	tell, announce	saṃ √khā
1103	√khā	1	tell, announce	upa saṃ √khā
1104	√khā	1	tell, announce	ā √khā
1105	√khā	1	tell, announce	√khā
1106	√khād	1	chew	ni √khād
1107	√khād	1	chew	saṃ √khād
1108	√khād	1	chew	√khād
1109	√khī	1	destroy, exhaust	ati √khī
1110	√khī	1	destroy, exhaust	ava √khī
1111	√khī	1	destroy, exhaust	pari √khī
1112	√khī	1	destroy, exhaust	saṃ √khī
1113	√khī	1	destroy, exhaust	vi √khī
1114	√khī	1	destroy, exhaust	√khī
1115	√kilam	1	be weary	pari √kilam
1116	√kilam	1	be weary	√kilam
1117	√kilid	3	be wet	√kilid
1118	√kilis	3	be dirty, be molested	pari √kilis
1119	√kilis	3	be dirty, be molested	saṃ √kilis
1120	√kilis	3	be dirty, be molested	upa √kilis
1121	√kilis	3	be dirty, be molested	√kilis
1122	√kir	1	scatter, sprinkle	abhi ava √kir
1123	√kir	1	scatter, sprinkle	abhi pa √kir
1124	√kir	1	scatter, sprinkle	abhi ud √kir
1125	√kir	1	scatter, sprinkle	abhi √kir
1126	√kir	1	scatter, sprinkle	adhi ava √kir
1127	√kir	1	scatter, sprinkle	anu √kir
1128	√kir	1	scatter, sprinkle	ava √kir
1129	√kir	1	scatter, sprinkle	pa √kir
1130	√kir	1	scatter, sprinkle	pari √kir
1131	√kir	1	scatter, sprinkle	saṃ ava √kir
1132	√kir	1	scatter, sprinkle	saṃ pari √kir
1133	√kir	1	scatter, sprinkle	saṃ ā √kir
1134	√kir	1	scatter, sprinkle	saṃ √kir
1135	√kir	1	scatter, sprinkle	vi ava √kir
1136	√kir	1	scatter, sprinkle	vi pa √kir
1137	√kir	1	scatter, sprinkle	vi √kir
1138	√kir	1	scatter, sprinkle	ā √kir
1139	√kir	1	scatter, sprinkle	√kir
1140	√kis	1	be thin	√kis
1141	√kit	1	heal, cure	√kit
1142	√kit	1	know, doubt	saṃ √kit
1143	√kit	1	know, doubt	√kit
1144	√kit	1	live	ni √kit
1145	√kitt	8	make known	pa √kitt
1146	√kitt	8	make known	pari √kitt
1147	√kitt	8	make known	saṃ √kitt
1148	√kitt	8	make known	√kitt
1149	√ku	1	sing, sound	√ku
1150	√kucch	8	revile	√kucch
1151	√kudh	3	be angry	pati √kudh
1152	√kudh	3	be angry	√kudh
1153	√kuh	8	deceive	√kuh
1154	√kujj	1	turn	ava √kujj
1155	√kujj	1	turn	nī √kujj
1156	√kujj	1	turn	pati √kujj
1157	√kujj	1	turn	ud √kujj
1158	√kul	1	be close	saṃ ā √kul
1159	√kul	1	be close	saṃ √kul
1160	√kul	1	be close	vi ā √kul
1161	√kul	1	be close	ā √kul
1162	√kul	1	be close	√kul
1163	√kumār	8	play	√kumār
1164	√kunth	1	hurt, cause pain	√kunth
1165	√kup	3	shake, be angry	pa √kup
1166	√kup	3	shake, be angry	pari √kup
1167	√kup	3	shake, be angry	saṃ √kup
1168	√kup	3	shake, be angry	vi √kup
1169	√kup	3	shake, be angry	√kup
1170	√kur	1	sound	√kur
1171	√kus	1	call, insult	pa √kus
1172	√kus	1	call, insult	pati ā √kus
1173	√kus	1	call, insult	pati √kus
1174	√kus	1	call, insult	upa √kus
1175	√kus	1	call, insult	ā √kus
1176	√kus	1	call, insult	√kus
1177	√kus	1	cut, tear	√kus
1178	√kus	1	fill, enfold	√kus
1179	√kuth	1	boil, burn	pa √kuth
1180	√kuth	1	boil, burn	ud √kuth
1181	√kuth	1	boil, burn	√kuth
1182	√kuñc	1	bend, be crooked	√kuñc
1183	√kuṇ	8	be bent, crooked	vi √kuṇ
1184	√kuṇ	8	be bent, crooked	√kuṇ
1185	√kuṇḍ	1	bend, mutilate	√kuṇḍ
1186	√kuṭ	1	be crooked, bent	ava √kuṭ
1187	√kuṭ	1	be crooked, bent	ni √kuṭ
1188	√kuṭ	1	be crooked, bent	pati √kuṭ
1189	√kuṭ	1	be crooked, bent	ud √kuṭ
1190	√kuṭ	1	be crooked, bent	√kuṭ
1191	√kuṭ	8	knock, beat	pati ā √kuṭ
1192	√kuṭ	8	knock, beat	ā √kuṭ
1193	√kuṭṭ	8	smash, powder	adhi √kuṭṭ
1194	√kuṭṭ	8	smash, powder	pati √kuṭṭ
1195	√kuṭṭ	8	smash, powder	√kuṭṭ
1196	√kās	1	cough	ud √kās
1197	√kās	1	cough	√kās
1198	√kās	1	shine, be visible	abhi ava √kās
1199	√kās	1	shine, be visible	adhi ava √kās
1200	√kās	1	shine, be visible	ava √kās
1201	√kās	1	shine, be visible	ni √kās
1202	√kās	1	shine, be visible	pa √kās
1203	√kās	1	shine, be visible	saṃ ni √kās
1204	√kās	1	shine, be visible	saṃ √kās
1205	√kās	1	shine, be visible	vi √kās
1206	√kās	1	shine, be visible	ā √kās
1207	√kās	1	shine, be visible	√kās
1208	√kī	5	buy	vi √kī
1209	√kī	5	buy	√kī
1210	√kīḷ	1	play	ni √kīḷ
1211	√kīḷ	1	play	√kīḷ
1212	√kūj	1	make sound	abhi ni √kūj
1213	√kūj	1	make sound	abhi √kūj
1214	√kūj	1	make sound	ni √kūj
1215	√kūj	1	make sound	upa √kūj
1216	√kūj	1	make sound	vi √kūj
1217	√kūj	1	make sound	√kūj
1218	√kūl	1	obstruct, embank	anu √kūl
1219	√kūl	1	obstruct, embank	pati √kūl
1220	√kūl	1	obstruct, embank	√kūl
1221	√labh	1	get	pati ā √labh
1222	√labh	1	get	pati √labh
1223	√labh	1	get	upa √labh
1224	√labh	1	get	√labh
1225	√lagg	1	stick, adhere	ava √lagg
1226	√lagg	1	stick, adhere	vi √lagg
1227	√lagg	1	stick, adhere	ā √lagg
1228	√lagg	1	stick, adhere	√lagg
1229	√lagh	2	lift up, jump	ud √lagh
1230	√lagh	2	lift up, jump	vi √lagh
1231	√lagh	2	lift up, jump	√lagh
1232	√lajj	1	be ashamed	√lajj
1233	√lakkh	8	mark	abhi √lakkh
1234	√lakkh	8	mark	ava √lakkh
1235	√lakkh	8	mark	saṃ √lakkh
1236	√lakkh	8	mark	upa √lakkh
1237	√lakkh	8	mark	vi √lakkh
1238	√lakkh	8	mark	√lakkh
1239	√lamb	1	hang	adhi ava √lamb
1240	√lamb	1	hang	apa ā √lamb
1241	√lamb	1	hang	ava √lamb
1242	√lamb	1	hang	vi √lamb
1243	√lamb	1	hang	ā √lamb
1244	√lamb	1	hang	√lamb
1245	√lap	1	speak, chat	abhi √lap
1246	√lap	1	speak, chat	pa √lap
1247	√lap	1	speak, chat	saṃ ud √lap
1248	√lap	1	speak, chat	saṃ √lap
1249	√lap	1	speak, chat	ud √lap
1250	√lap	1	speak, chat	upa √lap
1251	√lap	1	speak, chat	vi pa √lap
1252	√lap	1	speak, chat	vi √lap
1253	√lap	1	speak, chat	ā √lap
1254	√lap	1	speak, chat	√lap
1255	√las	1	shine, be active	vi √las
1256	√las	1	shine, be active	√las
1257	√laḷ	1	play, move about	apa √laḷ
1258	√laḷ	1	play, move about	nī √laḷ
1259	√laḷ	1	play, move about	pa √laḷ
1260	√laḷ	1	play, move about	upa √laḷ
1261	√lih	1	lick, lap	apa √lih
1262	√lih	1	lick, lap	ava √lih
1263	√lih	1	lick, lap	nī √lih
1264	√lih	1	lick, lap	pa √lih
1265	√lih	1	lick, lap	√lih
1266	√likh	1	scratch, write	abhi saṃ √likh
1267	√likh	1	scratch, write	adhi saṃ √likh
1268	√likh	1	scratch, write	apa √likh
1269	√likh	1	scratch, write	ava √likh
1270	√likh	1	scratch, write	saṃ √likh
1271	√likh	1	scratch, write	ud √likh
1272	√likh	1	scratch, write	vi √likh
1273	√likh	1	scratch, write	ā √likh
1274	√likh	1	scratch, write	√likh
1275	√lip	2	coat, smear	abhi √lip
1276	√lip	2	coat, smear	anu √lip
1277	√lip	2	coat, smear	ava √lip
1278	√lip	2	coat, smear	pa √lip
1279	√lip	2	coat, smear	saṃ √lip
1280	√lip	2	coat, smear	ud √lip
1281	√lip	2	coat, smear	upa √lip
1282	√lip	2	coat, smear	vi √lip
1283	√lip	2	coat, smear	ā √lip
1284	√lip	2	coat, smear	√lip
1285	√lis	3	be small	√lis
1286	√liṅg	1	embrace	ā √liṅg
1287	√liṅg	1	embrace	√liṅg
1288	√liṅg	8	differentiate sexually	√liṅg
1289	√loc	8	see, illuminate	ā √loc
1290	√loc	8	see, illuminate	√loc
1291	√lok	8	look	anu vi √lok
1292	√lok	8	look	anu √lok
1293	√lok	8	look	apa √lok
1294	√lok	8	look	ava √lok
1295	√lok	8	look	nī √lok
1296	√lok	8	look	ud √lok
1297	√lok	8	look	vi ava √lok
1298	√lok	8	look	vi √lok
1299	√lok	8	look	ā √lok
1300	√lok	8	look	√lok
1301	√lu	5	cut, reap, mow	vi √lu
1302	√lu	5	cut, reap, mow	√lu
1303	√lubh	1	fool, bewilder	pa √lubh
1304	√lubh	3	be greedy	pa √lubh
1305	√lubh	3	be greedy	√lubh
1306	√luj	3	be broken apart	ava √luj
1307	√luj	3	be broken apart	pa √luj
1308	√luj	3	be broken apart	vi pa √luj
1309	√luj	3	be broken apart	vi √luj
1310	√luj	3	be broken apart	√luj
1311	√lup	2	cut off, rob	nī √lup
1312	√lup	2	cut off, rob	ud √lup
1313	√lup	2	cut off, rob	vi √lup
1314	√lup	2	cut off, rob	ā √lup
1315	√lup	2	cut off, rob	√lup
1316	√luñc	1	pluck out, tear	√luñc
1317	√luḷ	1	agitate, be greedy	ud √luḷ
1318	√luḷ	1	agitate, be greedy	vi √luḷ
1319	√luḷ	1	agitate, be greedy	ā √luḷ
1320	√luḷ	1	agitate, be greedy	√luḷ
1321	√lī	3	stick, hide	ava √lī
1322	√lī	3	stick, hide	ni √lī
1323	√lī	3	stick, hide	pati saṃ √lī
1324	√lī	3	stick, hide	pati √lī
1325	√lī	3	stick, hide	saṃ √lī
1326	√lī	3	stick, hide	vi √lī
1327	√lī	3	stick, hide	ā √lī
1328	√lī	3	stick, hide	√lī
1329	√lī	5	stick, hide	pati √lī
1330	√mac	1	hold up, support	√mac
1331	√mad	3	be mad, intoxicated	pa √mad
1332	√mad	3	be mad, intoxicated	saṃ √mad
1333	√mad	3	be mad, intoxicated	ud √mad
1334	√mad	3	be mad, intoxicated	√mad
1335	√madd	1	crush, grind	abhi ni √madd
1336	√madd	1	crush, grind	abhi √madd
1337	√madd	1	crush, grind	adhi ava √madd
1338	√madd	1	crush, grind	ava √madd
1339	√madd	1	crush, grind	ni √madd
1340	√madd	1	crush, grind	pa √madd
1341	√madd	1	crush, grind	pari √madd
1342	√madd	1	crush, grind	saṃ √mad
1343	√madd	1	crush, grind	ā √madd
1344	√madd	1	crush, grind	√madd
1345	√magg	8	seek, search	ud √magg
1346	√magg	8	seek, search	√magg
1347	√mah	1	increase	√mah
1348	√mah	1	venerate	√mah
1349	√majj	1	rub, polish	anu ava √majj
1350	√majj	1	rub, polish	anu √majj
1351	√majj	1	rub, polish	pari √majj
1352	√majj	1	rub, polish	saṃ √majj
1353	√majj	1	rub, polish	vi √majj
1354	√majj	1	rub, polish	√majj
1355	√makkh	8	smear	ava √makkh
1356	√makkh	8	smear	saṃ √makkh
1357	√makkh	8	smear	√makkh
1358	√mal	1	dirty, stain	√mal
1359	√man	3	think	abhi √man
1360	√man	3	think	anu √man
1361	√man	3	think	ati √man
1362	√man	3	think	ava √man
1363	√man	3	think	ni √man
1364	√man	3	think	pari √man
1365	√man	3	think	pati √man
1366	√man	3	think	saṃ √man
1367	√man	3	think	vi √man
1368	√man	3	think	√man
1369	√mant	8	counsel, invite	abhi ni √mant
1370	√mant	8	counsel, invite	ni √mant
1371	√mant	8	counsel, invite	pati √mant
1372	√mant	8	counsel, invite	saṃ √mant
1373	√mant	8	counsel, invite	ā √mant
1374	√mant	8	counsel, invite	√mant
1375	√manth	1	shake, crush	abhi √manth
1376	√manth	1	shake, crush	ni √manth
1377	√manth	1	shake, crush	√manth
1378	√mar	1	die	√mar
1379	√mas	1	buzz, hum	√mas
1380	√mas	1	touch, rub	anu √mas
1381	√mas	1	touch, rub	ava √mas
1382	√mas	1	touch, rub	pari √mas
1383	√mas	1	touch, rub	parā √mas
1384	√mas	1	touch, rub	pati √mas
1385	√mas	1	touch, rub	saṃ √mas
1386	√mas	1	touch, rub	ā √mas
1387	√math	1	churn, stir	nī √math
1388	√math	1	churn, stir	pa √math
1389	√math	1	churn, stir	√math
1390	√maṅg	1	be auspicious	abhi √maṅg
1391	√maṅg	1	be auspicious	ava √maṅg
1392	√maṅg	1	be auspicious	ud √maṅg
1393	√maṅg	1	be auspicious	√maṅg
1394	√maṇḍ	1	adorn	pati √maṇḍ
1395	√maṇḍ	1	adorn	√maṇḍ
1396	√medh	1	be wise	√medh
1397	√medh	1	hurt, harm	√medh
1398	√mhi	1	smile	vi √mhi
1399	√mid	3	be fat	√mid
1400	√migh	1	sprinkle, shower	√migh
1401	√mih	1	smile, chuckle	√mih
1402	√mih	1	urinate, excrete	ud √mih
1403	√mih	1	urinate, excrete	√mih
1404	√milā	3	shrink, wither	saṃ √milā
1405	√milā	3	shrink, wither	√milā
1406	√miss	8	mix, mingle	saṃ √miss
1407	√miss	8	mix, mingle	vi ava √miss
1408	√miss	8	mix, mingle	√miss
1409	√mith	1	pair	√mith
1410	√mitt	1	be friendly	pati ā √mitt
1411	√mitt	1	be friendly	√mitt
1412	√mokkh	1	be freed	adhi √mokkh
1413	√mokkh	1	be freed	ni √mokkh
1414	√mokkh	1	be freed	pa ati √mokkh
1415	√mokkh	1	be freed	pa √mokkh
1416	√mokkh	1	be freed	vi √mokkh
1417	√mokkh	1	be freed	√mokkh
1418	√muc	2	release, free	adhi √muc
1419	√muc	2	release, free	ava √muc
1420	√muc	2	release, free	pa √muc
1421	√muc	2	release, free	pari √muc
1422	√muc	2	release, free	pati √muc
1423	√muc	2	release, free	ud √muc
1424	√muc	2	release, free	vi ni √muc
1425	√muc	2	release, free	vi pa √muc
1426	√muc	2	release, free	vi √muc
1427	√muc	2	release, free	ā √muc
1428	√muc	2	release, free	√muc
1429	√mucch	1	thicken, fixate	adhi √mucch
1430	√mucch	1	thicken, fixate	pa √mucch
1431	√mucch	1	thicken, fixate	saṃ √mucch
1432	√mucch	1	thicken, fixate	√mucch
1433	√mud	1	be soft, happy	abhi anu √mud
1434	√mud	1	be soft, happy	abhi pa √mud
1435	√mud	1	be soft, happy	anu √mud
1436	√mud	1	be soft, happy	pa √mud
1437	√mud	1	be soft, happy	pati saṃ √mud
1438	√mud	1	be soft, happy	saṃ anu √mud
1439	√mud	1	be soft, happy	saṃ √mud
1440	√mud	1	be soft, happy	ā √mud
1441	√mud	1	be soft, happy	√mud
1442	√muh	3	be deluded, confused	pa √muh
1443	√muh	3	be deluded, confused	saṃ pa √muh
1444	√muh	3	be deluded, confused	saṃ √muh
1445	√muh	3	be deluded, confused	vi √muh
1446	√muh	3	be deluded, confused	√muh
1447	√mujj	1	dive, sink, submerge	ni √mujj
1448	√mujj	1	dive, sink, submerge	ud √mujj
1449	√mun	5	think, know	saṃ √mun
1450	√mun	5	think, know	√mun
1451	√mus	1	steal	vi parā √mus
1452	√mus	1	steal	√mus
1453	√mus	3	lie, forget	pa √mus
1454	√mus	3	lie, forget	saṃ √mus
1455	√mus	3	lie, forget	√mus
1456	√muṇḍ	1	be bald, shave	√muṇḍ
1457	√mā	5	measure	abhi nī √mā
1458	√mā	5	measure	abhi √mā
1459	√mā	5	measure	adhi √mā
1460	√mā	5	measure	anu √mā
1461	√mā	5	measure	ni √mā
1462	√mā	5	measure	nī √mā
1463	√mā	5	measure	pa √mā
1464	√mā	5	measure	pari √mā
1465	√mā	5	measure	upa √mā
1466	√mā	5	measure	vi √mā
1467	√mā	5	measure	√mā
1468	√mīl	8	close eyes	ni √mīl
1469	√mīl	8	close eyes	ud √mīl
1470	√mūl	1	support	√mūl
1471	√mūl	8	mow, reap	ud √mūl
1472	√nabh	1	burst, split	√nabh
1473	√nad	1	roar	abhi √nad
1474	√nad	1	roar	nī √nad
1475	√nad	1	roar	ud √nad
1476	√nad	1	roar	√nad
1477	√nadh	2	twist around, envelop	api √nadh
1478	√nadh	2	twist around, envelop	ava √nadh
1479	√nadh	2	twist around, envelop	pari ava √nadh
1480	√nadh	2	twist around, envelop	vi √nadh
1481	√nadh	2	twist around, envelop	√nadh
1482	√nah	3	bind, arm	ava √nah
1483	√nah	3	bind, arm	saṃ √nah
1484	√nah	3	bind, arm	upa √nah
1485	√nah	3	bind, arm	√nah
1486	√nakkh	1	attain, arrive	√nakkh
1487	√nam	1	bend	abhi nī √nam
1488	√nam	1	bend	abhi ud √nam
1489	√nam	1	bend	abhi √nam
1490	√nam	1	bend	apa √nam
1491	√nam	1	bend	ati √nam
1492	√nam	1	bend	ava √nam
1493	√nam	1	bend	ni √nam
1494	√nam	1	bend	nī √nam
1495	√nam	1	bend	pa ava √nam
1496	√nam	1	bend	pa √nam
1497	√nam	1	bend	pari √nam
1498	√nam	1	bend	pati pa √nam
1499	√nam	1	bend	saṃ √nam
1500	√nam	1	bend	ud √nam
1501	√nam	1	bend	upa √nam
1502	√nam	1	bend	vi ati √nam
1503	√nam	1	bend	vi pari √nam
1504	√nam	1	bend	vi √nam
1505	√nam	1	bend	√nam
1506	√namass	1	bow, worship	√namass
1507	√nand	1	delight, enjoy	abhi √nand
1508	√nand	1	delight, enjoy	pati √nand
1509	√nand	1	delight, enjoy	ā √nand
1510	√nand	1	delight, enjoy	√nand
1511	√nas	3	be lost, disappear	pa √nas
1512	√nas	3	be lost, disappear	vi √nas
1513	√nas	3	be lost, disappear	√nas
1514	√nat	3	dance, act	pa √nat
1515	√nat	3	dance, act	√nat
1516	√naṭ	1	dance, act	√naṭ
1517	√nhā	3	bathe	ni √nhā
1518	√nhā	3	bathe	√nhā
1519	√nind	1	blame, abuse	√nind
1520	√nud	1	drive out, reject	apa √nud
1521	√nud	1	drive out, reject	pa √nud
1522	√nud	1	drive out, reject	pati vi √nud
1523	√nud	1	drive out, reject	vi √nud
1524	√nud	1	drive out, reject	√nud
1525	√nāth	1	have power, protect	√nāth
1526	√nī	1	lead	anu ā √nī
1527	√nī	1	lead	pari √nī
1528	√nī	1	lead	pati vi √nī
1529	√nī	1	lead	upa √nī
1530	√nī	1	lead	vi √nī
1531	√nī	1	lead	ā √nī
1532	√nī	1	lead	√nī
1533	√nī	1	lead, carry	abhi √nī
1534	√nī	1	lead, carry	anu √nī
1535	√nī	1	lead, carry	apa √nī
1536	√nī	1	lead, carry	ava √nī
1537	√nī	1	lead, carry	nī √nī
1538	√nī	1	lead, carry	pa √nī
1539	√nī	1	lead, carry	pari √nī
1540	√nī	1	lead, carry	pati vi √nī
1541	√nī	1	lead, carry	pati √nī
1542	√nī	1	lead, carry	saṃ ā √nī
1543	√nī	1	lead, carry	saṃ √nī
1544	√nī	1	lead, carry	ud √nī
1545	√nī	1	lead, carry	upa √nī
1546	√nī	1	lead, carry	vi √nī
1547	√nī	1	lead, carry	ā √nī
1548	√nī	1	lead, carry	√nī
1549	√nīl	1	be blue	vi √nīl
1550	√nīl	1	be blue	√nīl
1551	√pac	1	cook	pari √pac
1552	√pac	1	cook	√pac
1553	√pac	1	mature, ripen	pari √pac
1554	√pac	1	mature, ripen	saṃ √pac
1555	√pac	1	mature, ripen	vi √pac
1556	√pac	1	mature, ripen	√pac
1557	√pad	3	go, step	abhi ni √pad
1558	√pad	3	go, step	abhi nī √pad
1559	√pad	3	go, step	adhi ava √pad
1560	√pad	3	go, step	adhi ā √pad
1561	√pad	3	go, step	adhi √pad
1562	√pad	3	go, step	anu √pad
1563	√pad	3	go, step	ati √pad
1564	√pad	3	go, step	ni √pad
1565	√pad	3	go, step	nī √pad
1566	√pad	3	go, step	pari ā √pad
1567	√pad	3	go, step	pari √pad
1568	√pad	3	go, step	pati ud √pad
1569	√pad	3	go, step	pati √pad
1570	√pad	3	go, step	saṃ ud √pad
1571	√pad	3	go, step	saṃ ā √pad
1572	√pad	3	go, step	saṃ √pad
1573	√pad	3	go, step	ud √pad
1574	√pad	3	go, step	upa ni √pad
1575	√pad	3	go, step	upa saṃ √pad
1576	√pad	3	go, step	upa √pad
1577	√pad	3	go, step	vi pati √pad
1578	√pad	3	go, step	vi ā √pad
1579	√pad	3	go, step	vi √pad
1580	√pad	3	go, step	ā √pad
1581	√pad	3	go, step	√pad
1582	√pal	8	run away, flee	√pal
1583	√panth	1	go, move	pari √panth
1584	√panth	1	go, move	√panth
1585	√par	1	be active	vi ā √par
1586	√pas	1	tie, bind	√pas
1587	√pat	1	fall	abhi ni √pat
1588	√pat	1	fall	adhi √pat
1589	√pat	1	fall	anu √pat
